lalvoterid,transaction_id,contribution_date,amount,memo_text_description
LALDC174634426,SA11AI_323619186,2020-10-13,200,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174634426,SA11AI_283235676,2020-08-24,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174641719,SA11AI_277597758,2020-08-13,119.13,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174678865,SA11AI_341566491,2020-10-30,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174700971,SA11AI_277752333,2020-08-14,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174700971,SA11AI_276110542,2020-08-11,19.199999999999999,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832851,SA11AI_210864088,2020-02-20,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_204495100,2020-01-31,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_203807290,2020-01-30,1,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_281315432,2020-08-20,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832851,SA11AI_257808385,2020-06-19,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832851,SA11AI_205568840,2020-02-04,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_315283583,2020-10-02,11.109999999999999,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832851,SA11AI_201542160,2020-01-21,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_334700442,2020-10-24,40,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832851,SA11AI_206742647,2020-02-07,10,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_206635808,2020-02-07,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_200967979,2020-01-18,27,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_249363649,2020-06-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832851,SA11AI_205314726,2020-02-03,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_210546257,2020-02-19,27,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_198248052,2020-01-05,10,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_199920554,2020-01-14,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_211923566,2020-02-22,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC174832851,SA11AI_332746153,2020-10-22,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174898895,SA11AI_204146321,2020-01-31,10,Earmarked for BERNIE 2020 (C00696948)
LALDC174908410,SA11AI_273456618,2020-08-05,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_328754385,2020-10-18,20,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_259451198,2020-06-24,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_236060835,2020-05-21,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_225842076,2020-04-09,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_237647799,2020-05-28,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_229086917,2020-04-23,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_227364175,2020-04-16,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_266247766,2020-07-15,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_268290045,2020-07-22,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_230951552,2020-04-30,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_234391328,2020-05-14,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_262324876,2020-07-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_257028487,2020-06-17,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_232703819,2020-05-07,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_264256172,2020-07-08,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_276350889,2020-08-12,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174908410,SA11AI_270596122,2020-07-29,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174946336,SA11AI_326186756,2020-10-15,20,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174946336,SA11AI_326188056,2020-10-15,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455565007,SA11AI_206652479,2020-02-07,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC455565007,SA11AI_204535675,2020-01-31,50,Earmarked for BERNIE 2020 (C00696948)
LALDC455576606,SA11AI_203145734,2020-01-28,500,Earmarked for BERNIE 2020 (C00696948)
LALDC475459447,SA11AI_342417966,2020-10-31,120,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC475459447,SA11AI_335642616,2020-10-25,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548085317,SA11AI_326189165,2020-10-15,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548098691,SA11AI_285602655,2020-08-28,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174635064,SA11AI_314326034,2020-10-01,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174635771,SA11AI_342992577,2020-11-01,30,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174635771,SA11AI_324462003,2020-10-14,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174697339,SA11AI_214842951,2020-02-29,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174842171,SA11AI_232724879,2020-05-07,12.5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174842171,SA11AI_265416104,2020-07-12,2800,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175007480,SA11AI_213269607,2020-02-26,2.7000000000000002,Earmarked for BERNIE 2020 (C00696948)
LALDC175007480,SA11AI_204164253,2020-01-31,15,Earmarked for BERNIE 2020 (C00696948)
LALDC506000627,SA11AI_324944843,2020-10-14,3,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC537055739,SA11AI_282500141,2020-08-22,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174655674,SA11AI_267496734,2020-07-19,12.5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174726358,SA11AI_261177715,2020-06-29,500,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174726358,SA11AI_255931713,2020-06-14,500,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174769518,SA11AI_225107555,2020-04-05,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174794645,SA11AI_318496902,2020-10-07,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174809805,SA11AI_210520026,2020-02-19,27,Earmarked for BERNIE 2020 (C00696948)
LALDC174809805,SA11AI_203855800,2020-01-30,50,Earmarked for BERNIE 2020 (C00696948)
LALDC174809805,SA11AI_210161694,2020-02-18,50,Earmarked for BERNIE 2020 (C00696948)
LALDC471475910,SA11AI_334537653,2020-10-24,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC471475910,SA11AI_228223100,2020-04-19,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC475456272,SA11AI_258763253,2020-06-22,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_272986763,2020-08-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_263154611,2020-07-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_339715503,2020-10-29,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_248476964,2020-06-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_325904117,2020-10-15,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_231871715,2020-05-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_319539360,2020-10-08,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_316089075,2020-10-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_332048322,2020-10-22,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_224742042,2020-04-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC506005973,SA11AI_314071651,2020-10-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174629242,SA11AI_285172912,2020-08-27,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174629242,SA11AI_284432485,2020-08-26,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174629242,SA11AI_280283239,2020-08-18,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174629242,SA11AI_332498484,2020-10-22,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_277675029,2020-08-13,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_332735858,2020-10-22,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_225692315,2020-04-08,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_256428228,2020-06-15,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_204484226,2020-01-31,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_334442888,2020-10-24,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_281674443,2020-08-20,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_283559404,2020-08-25,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_277285449,2020-08-13,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_325657124,2020-10-14,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_202100002,2020-01-23,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_280146527,2020-08-18,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_280735371,2020-08-19,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_231777955,2020-05-03,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_277285043,2020-08-13,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_286670066,2020-08-30,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_211986580,2020-02-22,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
