,lalvoterid,zip,age,gender_F,gender_M,religion_Buddhist,religion_Catholic,religion_Christian,religion_Eastern Orthodox,religion_Greek Orthodox,religion_Hindu,religion_Islamic,religion_Jewish,religion_Lutheran,religion_Protestant,religion_Shinto,ethnicity_East and South Asian,ethnicity_European,ethnicity_Hispanic and Portuguese,ethnicity_Likely African-American,ethnicity_Other
0,LALDC174601812,20019.0,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,LALDC174613509,20020.0,89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,LALDC174614028,20017.0,93,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,LALDC174616109,20001.0,70,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,LALDC174617709,20018.0,78,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,LALDC174618021,20019.0,95,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6,LALDC174628978,20017.0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,LALDC174637860,20016.0,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,LALDC174638393,20024.0,98,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,LALDC174640985,20012.0,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,LALDC174647600,20020.0,76,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11,LALDC174647971,20019.0,72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,LALDC174648839,20011.0,73,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
13,LALDC174648943,20019.0,66,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14,LALDC174652845,20002.0,87,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15,LALDC174655674,20015.0,62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
