lalvoterid,zip,age,gender,religion,ethnicity
LALDC174601812,20019,92,M,,Likely African-American
LALDC174613509,20020,89,F,Protestant,European
LALDC174614028,20017,93,F,Protestant,Likely African-American
LALDC174616109,20001,70,M,Protestant,Likely African-American
LALDC174617709,20018,78,M,Protestant,Likely African-American
LALDC174618021,20019,95,F,Protestant,Likely African-American
LALDC174628978,20017,95,M,,Likely African-American
LALDC174637860,20016,74,F,,European
LALDC174638393,20024,98,M,Catholic,European
LALDC174640985,20012,64,F,Protestant,Likely African-American
LALDC174647600,20020,76,F,Protestant,Likely African-American
LALDC174647971,20019,72,F,Protestant,Likely African-American
LALDC174648839,20011,73,M,Protestant,East and South Asian
LALDC174648943,20019,66,F,Protestant,Likely African-American
LALDC174652845,20002,87,F,Protestant,European
LALDC174655674,20015,62,F,Catholic,European
LALDC174660603,20019,52,F,Protestant,Likely African-American
LALDC174663046,20001,78,F,Protestant,European
LALDC174667461,20019,81,F,Protestant,Likely African-American
LALDC174668748,20019,34,M,,Likely African-American
LALDC174670608,20016,43,F,,European
LALDC174672058,20016,64,F,Protestant,European
LALDC174672558,20011,55,F,Protestant,Likely African-American
LALDC174673155,20011,49,F,,Likely African-American
LALDC174676194,20020,60,M,,Likely African-American
LALDC174676237,20036,69,M,,
LALDC174676867,20024,53,M,Protestant,Likely African-American
LALDC174676965,20032,65,F,,Likely African-American
LALDC174680699,20020,65,F,,Likely African-American
LALDC174681537,20002,85,F,Christian,Likely African-American
LALDC174692179,20036,52,M,,East and South Asian
LALDC174696816,20003,55,F,Protestant,Likely African-American
LALDC174698546,20024,55,F,,Other
LALDC174713051,20011,61,F,Protestant,Likely African-American
LALDC174724327,20019,55,F,,Likely African-American
LALDC174726352,20001,82,F,Protestant,European
LALDC174726358,20002,72,F,Protestant,European
LALDC174726887,20002,56,M,,Likely African-American
LALDC174727151,20002,80,M,Protestant,Likely African-American
LALDC174730316,20002,75,F,,Likely African-American
LALDC174731190,20032,57,F,Protestant,Likely African-American
LALDC174737959,20011,49,M,Catholic,Hispanic and Portuguese
LALDC174740049,20024,77,F,Protestant,Likely African-American
LALDC174744221,20020,45,F,Protestant,Likely African-American
LALDC174745567,20018,53,M,Protestant,Likely African-American
LALDC174750400,20016,64,M,Protestant,European
LALDC174755076,20011,45,F,Protestant,Likely African-American
LALDC174761339,20019,52,F,,Likely African-American
LALDC174761544,20011,69,M,Protestant,Likely African-American
LALDC174762503,20019,53,M,Protestant,Likely African-American
LALDC174763500,20032,47,F,Protestant,Likely African-American
LALDC174769518,20007,66,F,Catholic,European
LALDC174769838,20018,94,M,,Likely African-American
LALDC174771469,20011,84,F,,Likely African-American
LALDC174775470,20032,43,F,,Likely African-American
LALDC174783371,20016,46,F,Protestant,European
LALDC174787380,20032,65,F,,Likely African-American
LALDC174790631,20018,66,F,Protestant,Likely African-American
LALDC174793367,20009,51,F,,European
LALDC174793586,20002,52,F,Protestant,Likely African-American
LALDC174794645,20011,55,F,,Likely African-American
LALDC174799296,20020,40,M,,Likely African-American
LALDC174800879,20009,40,M,,European
LALDC174802258,20019,53,F,,European
LALDC174804105,20005,60,M,Protestant,Likely African-American
LALDC174804182,20017,53,M,Protestant,Likely African-American
LALDC174809678,20016,50,F,,
LALDC174809805,20008,48,M,Protestant,European
LALDC174811770,20002,41,M,Catholic,European
LALDC174811935,20017,38,M,Protestant,Likely African-American
LALDC174817933,20009,49,F,Jewish,
LALDC174821015,20009,47,F,Protestant,European
LALDC174828947,20001,56,M,Islamic,Likely African-American
LALDC174834416,20003,48,F,Catholic,Hispanic and Portuguese
LALDC174836318,20001,44,M,Jewish,European
LALDC174840234,20012,57,M,,Likely African-American
LALDC174843889,20002,60,M,,Likely African-American
LALDC174846692,20002,51,M,,European
LALDC174848335,20019,44,F,,Likely African-American
LALDC174860966,20032,54,M,Jewish,
LALDC174863262,20032,37,F,Protestant,Likely African-American
LALDC174866087,20018,62,M,Protestant,Likely African-American
LALDC174868101,20003,41,M,,European
LALDC174868307,20012,43,M,,Likely African-American
LALDC174870565,20020,47,F,Protestant,Likely African-American
LALDC174889736,20020,46,F,Protestant,Likely African-American
LALDC174897627,20002,57,M,,Likely African-American
LALDC174897883,20003,53,M,Protestant,Likely African-American
LALDC174903131,20032,38,F,Protestant,Likely African-American
LALDC174903285,20032,38,F,Protestant,Likely African-American
LALDC174905493,20010,38,M,,European
LALDC174907342,20015,39,F,,European
LALDC174913472,20015,38,M,Protestant,European
LALDC174914191,20019,37,M,,Likely African-American
LALDC174916703,20020,54,F,,Likely African-American
LALDC174923030,20020,77,M,Protestant,Likely African-American
LALDC174925647,20015,82,F,,European
LALDC174925728,20019,55,F,,Likely African-American
LALDC174926200,20019,78,M,Protestant,Likely African-American
LALDC174929292,20002,40,F,,European
LALDC174930183,20020,51,M,,Likely African-American
LALDC174932507,20032,42,F,,Likely African-American
LALDC174936293,20002,62,M,Protestant,Likely African-American
LALDC174937514,20032,63,M,Protestant,Likely African-American
LALDC174937603,20002,40,M,,
LALDC174938611,20019,37,M,,Likely African-American
LALDC174939165,20019,34,M,,Likely African-American
LALDC174941169,20010,75,F,Protestant,European
LALDC174942073,20001,40,M,Jewish,
LALDC174944389,20001,39,M,Protestant,European
LALDC174944591,20011,68,M,,Likely African-American
LALDC174948110,20018,46,F,Protestant,European
LALDC174949021,20017,34,M,,Likely African-American
LALDC174952571,20011,51,M,,European
LALDC174955657,20016,44,F,Protestant,European
LALDC174962528,20020,34,M,,Likely African-American
LALDC174964274,20001,33,M,,Likely African-American
LALDC174971072,20019,36,F,Protestant,Likely African-American
LALDC174979532,20011,88,M,,Likely African-American
LALDC174981507,20011,30,M,,Likely African-American
LALDC174987260,20008,44,M,Protestant,European
LALDC174991381,20017,39,M,Protestant,European
LALDC174993484,20015,57,M,,Hispanic and Portuguese
LALDC174995886,20020,33,F,,Likely African-American
LALDC174998967,20001,41,M,,
LALDC174999861,20032,29,F,,Likely African-American
LALDC175000256,20020,30,M,,Likely African-American
LALDC175002081,20020,39,F,Protestant,Likely African-American
LALDC175003663,20020,31,M,Protestant,Likely African-American
LALDC175006139,20001,39,M,,European
LALDC175008616,20001,71,F,Protestant,Likely African-American
LALDC175009874,20009,40,M,,European
LALDC175013458,20002,43,M,,European
LALDC175015146,20011,60,M,,Likely African-American
LALDC175018982,20002,36,F,,European
LALDC175021049,20002,59,M,,Likely African-American
LALDC175025171,20020,64,M,,Likely African-American
LALDC175025738,20011,76,M,Protestant,Likely African-American
LALDC175028245,20001,69,F,,Likely African-American
LALDC175030339,20032,29,F,,Likely African-American
LALDC175035790,20008,31,F,,European
LALDC175037373,20032,48,F,,Likely African-American
LALDC175037500,20019,49,M,,Likely African-American
LALDC175038751,20019,30,F,,Likely African-American
LALDC175045105,20009,57,M,,
LALDC175047422,20019,29,M,Protestant,Likely African-American
LALDC175054477,20011,37,M,,Likely African-American
LALDC175058921,20032,70,F,,Likely African-American
LALDC175059354,20017,41,M,,Likely African-American
LALDC175065693,20002,29,F,,Likely African-American
LALDC409298915,20009,31,M,,Hispanic and Portuguese
LALDC409299137,20003,37,M,,Likely African-American
LALDC409300328,20009,39,F,,Likely African-American
LALDC409301912,20015,43,F,,East and South Asian
LALDC409303068,20032,49,M,,Likely African-American
LALDC409309498,20032,59,M,,Likely African-American
LALDC409313180,20019,33,F,,Likely African-American
LALDC409316841,20011,48,F,,Likely African-American
LALDC409322609,20019,51,F,,Likely African-American
LALDC409323991,20032,59,F,,Likely African-American
LALDC409326551,20002,31,F,,European
LALDC409330584,20032,52,M,,Likely African-American
LALDC409331096,20019,32,F,,Likely African-American
LALDC409331213,20002,41,F,,European
LALDC409334254,20011,28,M,,Likely African-American
LALDC430627875,20032,55,F,,Likely African-American
LALDC430631013,20007,58,F,,European
LALDC430633943,20011,36,F,,European
LALDC440800943,20009,31,M,,Likely African-American
LALDC440800980,20001,27,M,,Hispanic and Portuguese
LALDC440801488,20011,39,F,,European
LALDC455561010,20007,32,F,,
LALDC455569906,20007,37,F,,European
LALDC455571948,20011,25,F,,Likely African-American
LALDC455577439,20002,48,F,,Hispanic and Portuguese
LALDC455578516,20032,59,M,,Likely African-American
LALDC455579029,20024,40,M,,Likely African-American
LALDC455584353,20011,44,F,Jewish,
LALDC455587837,20016,54,F,Catholic,Hispanic and Portuguese
LALDC455588509,20001,42,M,,Hispanic and Portuguese
LALDC455588623,20003,40,M,,European
LALDC455589306,20011,39,M,,East and South Asian
LALDC471475910,20005,33,F,,European
LALDC471478793,20003,32,F,,European
LALDC475449283,20019,84,F,Protestant,Likely African-American
LALDC475456272,20001,39,M,,Other
LALDC475461536,20002,41,F,,European
LALDC486514382,20018,66,F,,Likely African-American
LALDC486522487,20007,63,F,Protestant,European
LALDC486523734,20011,37,F,,
LALDC486524674,20002,73,F,,
LALDC486526068,20010,25,M,,European
LALDC486530481,20002,32,F,,European
LALDC486531353,20019,34,F,,Likely African-American
LALDC505982823,20016,41,F,,European
LALDC505989355,20018,64,M,,Likely African-American
